mWifiInfo SSID: AndroidWifi, BSSID: 02:00:00:00:01:00, MAC: 02:00:00:44:55:66, Supplicant state: COMPLETED, RSSI: -50, Link speed: 26Mbps, Frequency: 2447MHz, Net ID: 0, Metered hint: false, score: 60
[ AndroidWifi 02:00:00:00:01:00 RSSI:-50 ]  RSSI score: 100, Same network bonus: 16, Same BSSID bonus: 24, ## Total score: 140
[ AndroidWifi 02:00:00:00:01:00 RSSI:-50 ]  RSSI score: 100, Same network bonus: 16, Same BSSID bonus: 24, ## Total score: 140
[ AndroidWifi 02:00:00:00:01:00 RSSI:-50 ]  RSSI score: 100, Same network bonus: 16, Same BSSID bonus: 24, ## Total score: 140
[ AndroidWifi 02:00:00:00:01:00 RSSI:-50 ]  RSSI score: 100, Same network bonus: 16, Same BSSID bonus: 24, ## Total score: 140
[ AndroidWifi 02:00:00:00:01:00 RSSI:-50 ]  RSSI score: 100, Same network bonus: 16, Same BSSID bonus: 24, ## Total score: 140
[ AndroidWifi 02:00:00:00:01:00 RSSI:-50 ]  RSSI score: 100, Same network bonus: 16, Same BSSID bonus: 24, ## Total score: 140
[ AndroidWifi 02:00:00:00:01:00 RSSI:-50 ]  RSSI score: 100, Same network bonus: 16, Same BSSID bonus: 24, ## Total score: 140
[ AndroidWifi 02:00:00:00:01:00 RSSI:-50 ]  RSSI score: 100, Same network bonus: 16, Same BSSID bonus: 24, ## Total score: 140
[ AndroidWifi 02:00:00:00:01:00 RSSI:-50 ]  RSSI score: 100, Same network bonus: 16, Same BSSID bonus: 24, ## Total score: 140
[ AndroidWifi 02:00:00:00:01:00 RSSI:-50 ]  RSSI score: 100, Same network bonus: 16, Same BSSID bonus: 24, ## Total score: 140
[ AndroidWifi 02:00:00:00:01:00 RSSI:-50 ]  RSSI score: 100, Same network bonus: 16, Same BSSID bonus: 24, ## Total score: 140
[ AndroidWifi 02:00:00:00:01:00 RSSI:-50 ]  RSSI score: 100, Same network bonus: 16, Same BSSID bonus: 24, ## Total score: 140
[ AndroidWifi 02:00:00:00:01:00 RSSI:-50 ]  RSSI score: 100, Same network bonus: 16, Same BSSID bonus: 24, ## Total score: 140
[ AndroidWifi 02:00:00:00:01:00 RSSI:-50 ]  RSSI score: 100, Same network bonus: 16, Same BSSID bonus: 24, ## Total score: 140
[ AndroidWifi 02:00:00:00:01:00 RSSI:-50 ]  RSSI score: 100, Same network bonus: 16, Same BSSID bonus: 24, ## Total score: 140
[ AndroidWifi 02:00:00:00:01:00 RSSI:-50 ]  RSSI score: 100, Same network bonus: 16, Same BSSID bonus: 24, ## Total score: 140
[ AndroidWifi 02:00:00:00:01:00 RSSI:-50 ]  RSSI score: 100, Same network bonus: 16, Same BSSID bonus: 24, ## Total score: 140
[ AndroidWifi 02:00:00:00:01:00 RSSI:-50 ]  RSSI score: 100, Same network bonus: 16, Same BSSID bonus: 24, ## Total score: 140
[ AndroidWifi 02:00:00:00:01:00 RSSI:-50 ]  RSSI score: 100, Same network bonus: 16, Same BSSID bonus: 24, ## Total score: 140
[ AndroidWifi 02:00:00:00:01:00 RSSI:-50 ]  RSSI score: 100, Same network bonus: 16, Same BSSID bonus: 24, ## Total score: 140
[ AndroidWifi 02:00:00:00:01:00 RSSI:-50 ]  RSSI score: 100, Same network bonus: 16, Same BSSID bonus: 24, ## Total score: 140
[ AndroidWifi 02:00:00:00:01:00 RSSI:-50 ]  RSSI score: 100, Same network bonus: 16, Same BSSID bonus: 24, ## Total score: 140
[ AndroidWifi 02:00:00:00:01:00 RSSI:-50 ]  RSSI score: 100, Same network bonus: 16, Same BSSID bonus: 24, ## Total score: 140
[ AndroidWifi 02:00:00:00:01:00 RSSI:-50 ]  RSSI score: 100, Same network bonus: 16, Same BSSID bonus: 24, ## Total score: 140
[ AndroidWifi 02:00:00:00:01:00 RSSI:-50 ]  RSSI score: 100, Same network bonus: 16, Same BSSID bonus: 24, ## Total score: 140
[ AndroidWifi 02:00:00:00:01:00 RSSI:-50 ]  RSSI score: 100, Same network bonus: 16, Same BSSID bonus: 24, ## Total score: 140
[ AndroidWifi 02:00:00:00:01:00 RSSI:-50 ]  RSSI score: 100, Same network bonus: 16, Same BSSID bonus: 24, ## Total score: 140
[ AndroidWifi 02:00:00:00:01:00 RSSI:-50 ]  RSSI score: 100, Same network bonus: 16, Same BSSID bonus: 24, ## Total score: 140
[ AndroidWifi 02:00:00:00:01:00 RSSI:-50 ]  RSSI score: 100, Same network bonus: 16, Same BSSID bonus: 24, ## Total score: 140
[ AndroidWifi 02:00:00:00:01:00 RSSI:-50 ]  RSSI score: 100, Same network bonus: 16, Same BSSID bonus: 24, ## Total score: 140
[ AndroidWifi 02:00:00:00:01:00 RSSI:-50 ]  RSSI score: 100, Same network bonus: 16, Same BSSID bonus: 24, ## Total score: 140
[ AndroidWifi 02:00:00:00:01:00 RSSI:-50 ]  RSSI score: 100, Same network bonus: 16, Same BSSID bonus: 24, ## Total score: 140
[ AndroidWifi 02:00:00:00:01:00 RSSI:-50 ]  RSSI score: 100, Same network bonus: 16, Same BSSID bonus: 24, ## Total score: 140
[ AndroidWifi 02:00:00:00:01:00 RSSI:-50 ]  RSSI score: 100, Same network bonus: 16, Same BSSID bonus: 24, ## Total score: 140
[ AndroidWifi 02:00:00:00:01:00 RSSI:-50 ]  RSSI score: 100, Same network bonus: 16, Same BSSID bonus: 24, ## Total score: 140
[ AndroidWifi 02:00:00:00:01:00 RSSI:-50 ]  RSSI score: 100, Same network bonus: 16, Same BSSID bonus: 24, ## Total score: 140
[ AndroidWifi 02:00:00:00:01:00 RSSI:-50 ]  RSSI score: 100, Same network bonus: 16, Same BSSID bonus: 24, ## Total score: 140
[ AndroidWifi 02:00:00:00:01:00 RSSI:-50 ]  RSSI score: 100, Same network bonus: 16, Same BSSID bonus: 24, ## Total score: 140
[ AndroidWifi 02:00:00:00:01:00 RSSI:-50 ]  RSSI score: 100, Same network bonus: 16, Same BSSID bonus: 24, ## Total score: 140
